Image;URL;Title;Date;Link;Type;Views;Likes;Comments;Shares;Reach;Duration;Engagement;Full video watched rate;Total time watched seconds;Avg. time watched seconds;For You;Follow;Hashtag;Sound;Personal profile;Search
"https://static.metricool.com/tkvideocovers/202507/2460321-7530274152196869432.jpeg";"https://www.tiktok.com/@techo_arg/video/7530274152196869432?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"tamos en todo el país 🇦🇷🫶 #voluntariado ";2025-07-23 10:49;"https://www.tiktok.com/player/v1/7530274152196869432?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";1110;76;4;4;913;40;"9.2";"0.03";"7938";"7.15";"83";"0.8";;"0";"3.3";"6.1"
"https://static.metricool.com/tkvideocovers/202507/2460321-7525902207602969861.jpeg";"https://www.tiktok.com/@techo_arg/video/7525902207602969861?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"pov: sos voluntario/a de TECHO 🥹🩵🫂🇦🇷";2025-07-11 16:04;"https://www.tiktok.com/player/v1/7525902207602969861?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";778;38;2;2;620;40;"6.77";"0.01";"2990";"3.84";"77.8";"0";;"0";"9.4";"4.4"
"https://static.metricool.com/tkvideocovers/202507/2460321-7525899928376233222.jpeg";"https://www.tiktok.com/@techo_arg/video/7525899928376233222?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"hola gente acá desde #tucuman ";2025-07-11 15:55;"https://www.tiktok.com/player/v1/7525899928376233222?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";956;62;3;0;801;37;"8.11";"0.03";"5685";"5.97";"87.3";"0";;"0";"6.1";"1.9"
"https://static.metricool.com/tkvideocovers/202507/2460321-7524754772000312581.jpeg";"https://www.tiktok.com/@techo_arg/video/7524754772000312581?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"sumate al voluntariado 🩵 #voluntarios #argentina ";2025-07-08 13:51;"https://www.tiktok.com/player/v1/7524754772000312581?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";949;65;3;4;753;33;"9.56";"0.05";"5064";"5.33";"80.1";"0.5";;"0";"7.9";"4.1"
"https://static.metricool.com/tkvideocovers/202507/2460321-7524718076336557318.jpeg";"https://www.tiktok.com/@techo_arg/video/7524718076336557318?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"5 millones de personas 🤯 #voluntariado ";2025-07-08 11:29;"https://www.tiktok.com/player/v1/7524718076336557318?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";901;46;2;4;746;19;"6.97";"0.09";"6009";"6.61";"83.9";"1";;"0";"7.3";"1.7"
"https://static.metricool.com/tkvideocovers/202507/2460321-7524331778752908549.jpeg";"https://www.tiktok.com/@techo_arg/video/7524331778752908549?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"";2025-07-07 10:30;"https://www.tiktok.com/player/v1/7524331778752908549?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";556;38;1;0;451;33;"8.65";"0.04";"3212";"5.72";"76.2";"0.5";;"0";"11";"0.9"
"https://static.metricool.com/tkvideocovers/202507/2460321-7522148051172003077.jpeg";"https://www.tiktok.com/@techo_arg/video/7522148051172003077?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"ser voluntario/a es: 🩵";2025-07-01 13:16;"https://www.tiktok.com/player/v1/7522148051172003077?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";602;55;1;0;504;18;"11.11";"0.11";"3373";"5.46";"75.4";"1.6";;"0";"12.1";"4.4"
"https://static.metricool.com/tkvideocovers/202506/2460321-7520652569073552696.jpeg";"https://www.tiktok.com/@techo_arg/video/7520652569073552696?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"aguante la música y este equipo de voluntarios/as increibles 🥺🥹🎶💖🏘🫂🇦🇷";2025-06-27 12:33;"https://www.tiktok.com/player/v1/7520652569073552696?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";1963;181;11;21;1633;59;"13.04";"0.05";"18194";"9.24";"86.7";"0.5";;"0";"6.3";"2.2"
"https://static.metricool.com/tkvideocovers/202506/2460321-7519609104738946310.jpeg";"https://www.tiktok.com/@techo_arg/video/7519609104738946310?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"La música no solo se escucha. Se siente, nos atraviesa, nos une y transforma la realidad. Vos también podes sumarte a construir la Argentina que queremos. Comentá ""Voluntariado"" y te mandamos el link de inscripción! La realidad está cantada. Escuchala y activá. #LaRealidadEstáCantada #TECHO #Voluntariado";2025-06-24 17:03;"https://www.tiktok.com/player/v1/7519609104738946310?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";986;68;0;3;831;51;"8.54";"0.01";"7373";"7.47";"83.5";"0.8";;"0";"8";"2.1"
"https://static.metricool.com/tkvideocovers/202505/2460321-7501405109549681926.jpeg";"https://www.tiktok.com/@techo_arg/video/7501405109549681926?utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"ya tenes tu plan para este finde 🏃‍♀️🏃‍♀️ @Valen Hansen ";2025-05-06 15:43;"https://www.tiktok.com/player/v1/7501405109549681926?music_info=1&description=1&autoplay=1&loop=1&utm_campaign=tt4d_open_api&utm_source=6853989043827376134";"VIDEO";1474;55;0;3;1142;29;"5.08";"0.03";"7013";"4.79";"73.6";"0.7";;"0";"8.7";"9.8"
